StoreID,DateID,Fuel_Price,CPI,Unemployment
1,2010-02-05,2.572,211.0963582,8.106
1,2010-02-12,2.548,211.2421698,8.106
1,2010-02-19,2.514,211.2891429,8.106
1,2010-02-26,2.561,211.3196429,8.106
1,2010-03-05,2.625,211.3501429,8.106
1,2010-03-12,2.667,211.3806429,8.106
1,2010-03-19,2.72,211.215635,8.106
1,2010-03-26,2.732,211.0180424,8.106
1,2010-04-02,2.719,210.8204499,7.808
1,2010-04-09,2.77,210.6228574,7.808
1,2010-04-16,2.808,210.4887,7.808
1,2010-04-23,2.795,210.4391228,7.808
1,2010-04-30,2.78,210.3895456,7.808
1,2010-05-07,2.835,210.3399684,7.808
1,2010-05-14,2.854,210.3374261,7.808
1,2010-05-21,2.826,210.6170934,7.808
1,2010-05-28,2.759,210.8967606,7.808
1,2010-06-04,2.705,211.1764278,7.808
1,2010-06-11,2.668,211.4560951,7.808
1,2010-06-18,2.637,211.4537719,7.808
1,2010-06-25,2.653,211.3386526,7.808
1,2010-07-02,2.669,211.2235333,7.787
1,2010-07-09,2.642,211.108414,7.787
1,2010-07-16,2.623,211.1003854,7.787
1,2010-07-23,2.608,211.2351443,7.787
1,2010-07-30,2.64,211.3699032,7.787
1,2010-08-06,2.627,211.5046621,7.787
1,2010-08-13,2.692,211.6394211,7.787
1,2010-08-20,2.664,211.6033633,7.787
1,2010-08-27,2.619,211.5673056,7.787
1,2010-09-03,2.577,211.5312479,7.787
1,2010-09-10,2.565,211.4951902,7.787
1,2010-09-17,2.582,211.5224596,7.787
1,2010-09-24,2.624,211.5972246,7.787
1,2010-10-01,2.603,211.6719895,7.838
1,2010-10-08,2.633,211.7467544,7.838
1,2010-10-15,2.72,211.8137436,7.838
1,2010-10-22,2.725,211.8612937,7.838
1,2010-10-29,2.716,211.9088438,7.838
1,2010-11-05,2.689,211.9563939,7.838
1,2010-11-12,2.728,212.003944,7.838
1,2010-11-19,2.771,211.8896737,7.838
1,2010-11-26,2.735,211.7484333,7.838
1,2010-12-03,2.708,211.607193,7.838
1,2010-12-10,2.843,211.4659526,7.838
1,2010-12-17,2.869,211.4053124,7.838
1,2010-12-24,2.886,211.4051222,7.838
1,2010-12-31,2.943,211.4049321,7.838
1,2011-01-07,2.976,211.4047419,7.742
1,2011-01-14,2.983,211.4574109,7.742
1,2011-01-21,3.016,211.8272343,7.742
1,2011-01-28,3.01,212.1970577,7.742
1,2011-02-04,2.989,212.5668812,7.742
1,2011-02-11,3.022,212.9367046,7.742
1,2011-02-18,3.045,213.2478853,7.742
1,2011-02-25,3.065,213.535609,7.742
1,2011-03-04,3.288,213.8233327,7.742
1,2011-03-11,3.459,214.1110564,7.742
1,2011-03-18,3.488,214.3627114,7.742
1,2011-03-25,3.473,214.5999389,7.742
1,2011-04-01,3.524,214.8371664,7.682
1,2011-04-08,3.622,215.0743939,7.682
1,2011-04-15,3.743,215.2918561,7.682
1,2011-04-22,3.807,215.4599053,7.682
1,2011-04-29,3.81,215.6279544,7.682
1,2011-05-06,3.906,215.7960035,7.682
1,2011-05-13,3.899,215.9640526,7.682
1,2011-05-20,3.907,215.7339202,7.682
1,2011-05-27,3.786,215.5037878,7.682
1,2011-06-03,3.699,215.2736553,7.682
1,2011-06-10,3.648,215.0435229,7.682
1,2011-06-17,3.637,214.9980596,7.682
1,2011-06-24,3.594,215.0910982,7.682
1,2011-07-01,3.524,215.1841368,7.962
1,2011-07-08,3.48,215.2771754,7.962
1,2011-07-15,3.575,215.3611087,7.962
1,2011-07-22,3.651,215.4222784,7.962
1,2011-07-29,3.682,215.4834482,7.962
1,2011-08-05,3.684,215.544618,7.962
1,2011-08-12,3.638,215.6057878,7.962
1,2011-08-19,3.554,215.6693107,7.962
1,2011-08-26,3.523,215.7332258,7.962
1,2011-09-02,3.533,215.7971409,7.962
1,2011-09-09,3.546,215.861056,7.962
1,2011-09-16,3.526,216.0410526,7.962
1,2011-09-23,3.467,216.3758246,7.962
1,2011-09-30,3.355,216.7105965,7.962
1,2011-10-07,3.285,217.0453684,7.866
1,2011-10-14,3.274,217.3552733,7.866
1,2011-10-21,3.353,217.5159762,7.866
1,2011-10-28,3.372,217.6766791,7.866
1,2011-11-04,3.332,217.837382,7.866
1,2011-11-11,3.297,217.9980849,7.866
1,2011-11-18,3.308,218.2205088,7.866
1,2011-11-25,3.236,218.4676211,7.866
1,2011-12-02,3.172,218.7147333,7.866
1,2011-12-09,3.158,218.9618456,7.866
1,2011-12-16,3.159,219.1794533,7.866
1,2011-12-23,3.112,219.3577216,7.866
1,2011-12-30,3.129,219.5359898,7.866
1,2012-01-06,3.157,219.7142581,7.348
1,2012-01-13,3.261,219.8925263,7.348
1,2012-01-20,3.268,219.9856893,7.348
1,2012-01-27,3.29,220.0788523,7.348
1,2012-02-03,3.36,220.1720153,7.348
1,2012-02-10,3.409,220.2651783,7.348
1,2012-02-17,3.51,220.4257586,7.348
1,2012-02-24,3.555,220.636902,7.348
1,2012-03-02,3.63,220.8480454,7.348
1,2012-03-09,3.669,221.0591887,7.348
1,2012-03-16,3.734,221.2118132,7.348
1,2012-03-23,3.787,221.2864126,7.348
1,2012-03-30,3.845,221.3610119,7.348
1,2012-04-06,3.891,221.4356112,7.143
1,2012-04-13,3.891,221.5102105,7.143
1,2012-04-20,3.877,221.5640737,7.143
1,2012-04-27,3.814,221.6179368,7.143
1,2012-05-04,3.749,221.6718,7.143
1,2012-05-11,3.688,221.7256632,7.143
1,2012-05-18,3.63,221.742674,7.143
1,2012-05-25,3.561,221.744944,7.143
1,2012-06-01,3.501,221.7472139,7.143
1,2012-06-08,3.452,221.7494839,7.143
1,2012-06-15,3.393,221.7626421,7.143
1,2012-06-22,3.346,221.8030211,7.143
1,2012-06-29,3.286,221.8434,7.143
1,2012-07-06,3.227,221.8837789,6.908
1,2012-07-13,3.256,221.9241579,6.908
1,2012-07-20,3.311,221.9327267,6.908
1,2012-07-27,3.407,221.9412954,6.908
1,2012-08-03,3.417,221.9498642,6.908
1,2012-08-10,3.494,221.9584329,6.908
1,2012-08-17,3.571,222.0384109,6.908
1,2012-08-24,3.62,222.1719457,6.908
1,2012-08-31,3.638,222.3054805,6.908
1,2012-09-07,3.73,222.4390153,6.908
1,2012-09-14,3.717,222.5820193,6.908
1,2012-09-21,3.721,222.7818386,6.908
1,2012-09-28,3.666,222.9816579,6.908
1,2012-10-05,3.617,223.1814772,6.573
1,2012-10-12,3.601,223.3812965,6.573
1,2012-10-19,3.594,223.4257233,6.573
1,2012-10-26,3.506,223.4442513,6.573
2,2010-02-05,2.572,210.7526053,8.324
2,2010-02-12,2.548,210.8979935,8.324
2,2010-02-19,2.514,210.9451605,8.324
2,2010-02-26,2.561,210.9759573,8.324
2,2010-03-05,2.625,211.0067542,8.324
2,2010-03-12,2.667,211.037551,8.324
2,2010-03-19,2.72,210.8733316,8.324
2,2010-03-26,2.732,210.6766095,8.324
2,2010-04-02,2.719,210.4798874,8.2
2,2010-04-09,2.77,210.2831653,8.2
2,2010-04-16,2.808,210.1495463,8.2
2,2010-04-23,2.795,210.1000648,8.2
2,2010-04-30,2.78,210.0505833,8.2
2,2010-05-07,2.835,210.0011018,8.2
2,2010-05-14,2.854,209.9984585,8.2
2,2010-05-21,2.826,210.2768443,8.2
2,2010-05-28,2.759,210.5552301,8.2
2,2010-06-04,2.705,210.833616,8.2
2,2010-06-11,2.668,211.1120018,8.2
2,2010-06-18,2.637,211.1096543,8.2
2,2010-06-25,2.653,210.9950134,8.2
2,2010-07-02,2.669,210.8803726,8.099
2,2010-07-09,2.642,210.7657317,8.099
2,2010-07-16,2.623,210.7577954,8.099
2,2010-07-23,2.608,210.8921319,8.099
2,2010-07-30,2.64,211.0264684,8.099
2,2010-08-06,2.627,211.1608049,8.099
2,2010-08-13,2.692,211.2951413,8.099
2,2010-08-20,2.664,211.2596586,8.099
2,2010-08-27,2.619,211.2241759,8.099
2,2010-09-03,2.577,211.1886931,8.099
2,2010-09-10,2.565,211.1532104,8.099
2,2010-09-17,2.582,211.1806415,8.099
2,2010-09-24,2.624,211.2552578,8.099
2,2010-10-01,2.603,211.3298742,8.163
2,2010-10-08,2.633,211.4044906,8.163
2,2010-10-15,2.72,211.4713286,8.163
2,2010-10-22,2.725,211.5187208,8.163
2,2010-10-29,2.716,211.5661131,8.163
2,2010-11-05,2.689,211.6135053,8.163
2,2010-11-12,2.728,211.6608975,8.163
2,2010-11-19,2.771,211.5470304,8.163
2,2010-11-26,2.735,211.4062867,8.163
2,2010-12-03,2.708,211.265543,8.163
2,2010-12-10,2.843,211.1247993,8.163
2,2010-12-17,2.869,211.0645458,8.163
2,2010-12-24,2.886,211.0646599,8.163
2,2010-12-31,2.943,211.064774,8.163
2,2011-01-07,2.976,211.0648881,8.028
2,2011-01-14,2.983,211.1176713,8.028
2,2011-01-21,3.016,211.4864691,8.028
2,2011-01-28,3.01,211.8552668,8.028
2,2011-02-04,2.989,212.2240646,8.028
2,2011-02-11,3.022,212.5928624,8.028
2,2011-02-18,3.045,212.9033115,8.028
2,2011-02-25,3.065,213.190421,8.028
2,2011-03-04,3.288,213.4775305,8.028
2,2011-03-11,3.459,213.7646401,8.028
2,2011-03-18,3.488,214.0156238,8.028
2,2011-03-25,3.473,214.2521573,8.028
2,2011-04-01,3.524,214.4886908,7.931
2,2011-04-08,3.622,214.7252242,7.931
2,2011-04-15,3.743,214.9420631,7.931
2,2011-04-22,3.807,215.1096657,7.931
2,2011-04-29,3.81,215.2772683,7.931
2,2011-05-06,3.906,215.4448709,7.931
2,2011-05-13,3.899,215.6124735,7.931
2,2011-05-20,3.907,215.3834778,7.931
2,2011-05-27,3.786,215.1544822,7.931
2,2011-06-03,3.699,214.9254865,7.931
2,2011-06-10,3.648,214.6964908,7.931
2,2011-06-17,3.637,214.6513538,7.931
2,2011-06-24,3.594,214.7441108,7.931
2,2011-07-01,3.524,214.8368678,7.852
2,2011-07-08,3.48,214.9296249,7.852
2,2011-07-15,3.575,215.0134426,7.852
2,2011-07-22,3.651,215.0749122,7.852
2,2011-07-29,3.682,215.1363819,7.852
2,2011-08-05,3.684,215.1978515,7.852
2,2011-08-12,3.638,215.2593211,7.852
2,2011-08-19,3.554,215.3229307,7.852
2,2011-08-26,3.523,215.386897,7.852
2,2011-09-02,3.533,215.4508632,7.852
2,2011-09-09,3.546,215.5148295,7.852
